,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,100,default,,100000.0,500,0.77
1,FH,50,50,100,default,,100000.0,500,0.61
2,FH,50,250,100,default,,100000.0,500,0.34
3,FH,50,500,100,default,,100000.0,500,0.13
4,FH,50,1000,100,default,,100000.0,500,0.16
5,FH,50,1500,100,default,,100000.0,500,0.22
6,FH,100,25,100,default,,100000.0,500,0.99
7,FH,100,50,100,default,,100000.0,500,0.94
8,FH,100,250,100,default,,100000.0,500,0.7
9,FH,100,500,100,default,,100000.0,500,0.56
10,FH,100,1000,100,default,,100000.0,500,0.41
11,FH,100,1500,100,default,,100000.0,500,0.4
12,MMD,50,25,100,default,,100000.0,500,0.98
13,MMD,50,50,100,default,,100000.0,500,0.97
14,MMD,50,250,100,default,,100000.0,500,0.58
15,MMD,50,500,100,default,,100000.0,500,0.32
16,MMD,50,1000,100,default,,100000.0,500,0.25
17,MMD,50,1500,100,default,,100000.0,500,0.2
18,MMD,100,25,100,default,,100000.0,500,1.0
19,MMD,100,50,100,default,,100000.0,500,1.0
20,MMD,100,250,100,default,,100000.0,500,0.97
21,MMD,100,500,100,default,,100000.0,500,0.82
22,MMD,100,1000,100,default,,100000.0,500,0.53
23,MMD,100,1500,100,default,,100000.0,500,0.51
24,KNN,50,25,100,default,,100000.0,500,0.44
25,KNN,50,50,100,default,,100000.0,500,0.26
26,KNN,50,250,100,default,,100000.0,500,0.08
27,KNN,50,500,100,default,,100000.0,500,0.08
28,KNN,50,1000,100,default,,100000.0,500,0.09
29,KNN,50,1500,100,default,,100000.0,500,0.05
30,KNN,100,25,100,default,,100000.0,500,0.59
31,KNN,100,50,100,default,,100000.0,500,0.54
32,KNN,100,250,100,default,,100000.0,500,0.19
33,KNN,100,500,100,default,,100000.0,500,0.11
34,KNN,100,1000,100,default,,100000.0,500,0.09
35,KNN,100,1500,100,default,,100000.0,500,0.08
36,FR,50,25,100,default,,100000.0,500,0.48
37,FR,50,50,100,default,,100000.0,500,0.31
38,FR,50,250,100,default,,100000.0,500,0.11
39,FR,50,500,100,default,,100000.0,500,0.08
40,FR,50,1000,100,default,,100000.0,500,0.1
41,FR,50,1500,100,default,,100000.0,500,0.04
42,FR,100,25,100,default,,100000.0,500,0.67
43,FR,100,50,100,default,,100000.0,500,0.53
44,FR,100,250,100,default,,100000.0,500,0.16
45,FR,100,500,100,default,,100000.0,500,0.13
46,FR,100,1000,100,default,,100000.0,500,0.12
47,FR,100,1500,100,default,,100000.0,500,0.08
48,HT,50,25,100,default,,100000.0,500,0.9
49,HT,50,50,100,default,,100000.0,500,0.69
50,HT,50,250,100,default,,100000.0,500,0.29
51,HT,50,500,100,default,,100000.0,500,0.15
52,HT,50,1000,100,default,,100000.0,500,0.16
53,HT,50,1500,100,default,,100000.0,500,0.17
54,HT,100,25,100,default,,100000.0,500,1.0
55,HT,100,50,100,default,,100000.0,500,0.97
56,HT,100,250,100,default,,100000.0,500,0.52
57,HT,100,500,100,default,,100000.0,500,0.32
58,HT,100,1000,100,default,,100000.0,500,0.31
59,HT,100,1500,100,default,,100000.0,500,0.17
