,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,250,default,,100000.0,500,0.996
1,FH,50,50,250,default,,100000.0,500,1.0
2,FH,50,250,250,default,,100000.0,500,0.948
3,FH,50,500,250,default,,100000.0,500,0.68
4,FH,50,1000,250,default,,100000.0,500,0.48
5,FH,50,1500,250,default,,100000.0,500,0.296
6,FH,100,25,250,default,,100000.0,500,1.0
7,FH,100,50,250,default,,100000.0,500,1.0
8,FH,100,250,250,default,,100000.0,500,1.0
9,FH,100,500,250,default,,100000.0,500,0.976
10,FH,100,1000,250,default,,100000.0,500,0.728
11,FH,100,1500,250,default,,100000.0,500,0.46
12,MMD,50,25,250,default,,100000.0,500,0.98
13,MMD,50,50,250,default,,100000.0,500,0.556
14,MMD,50,250,250,default,,100000.0,500,0.072
15,MMD,50,500,250,default,,100000.0,500,0.06
16,MMD,50,1000,250,default,,100000.0,500,0.052
17,MMD,50,1500,250,default,,100000.0,500,0.056
18,MMD,100,25,250,default,,100000.0,500,1.0
19,MMD,100,50,250,default,,100000.0,500,0.964
20,MMD,100,250,250,default,,100000.0,500,0.084
21,MMD,100,500,250,default,,100000.0,500,0.056
22,MMD,100,1000,250,default,,100000.0,500,0.064
23,MMD,100,1500,250,default,,100000.0,500,0.048
24,KNN,50,25,250,default,,100000.0,500,0.468
25,KNN,50,50,250,default,,100000.0,500,0.28
26,KNN,50,250,250,default,,100000.0,500,0.1
27,KNN,50,500,250,default,,100000.0,500,0.064
28,KNN,50,1000,250,default,,100000.0,500,0.056
29,KNN,50,1500,250,default,,100000.0,500,0.056
30,KNN,100,25,250,default,,100000.0,500,0.96
31,KNN,100,50,250,default,,100000.0,500,0.684
32,KNN,100,250,250,default,,100000.0,500,0.148
33,KNN,100,500,250,default,,100000.0,500,0.08
34,KNN,100,1000,250,default,,100000.0,500,0.056
35,KNN,100,1500,250,default,,100000.0,500,0.04
36,FR,50,25,250,default,,100000.0,500,0.54
37,FR,50,50,250,default,,100000.0,500,0.32
38,FR,50,250,250,default,,100000.0,500,0.08
39,FR,50,500,250,default,,100000.0,500,0.068
40,FR,50,1000,250,default,,100000.0,500,0.04
41,FR,50,1500,250,default,,100000.0,500,0.056
42,FR,100,25,250,default,,100000.0,500,0.96
43,FR,100,50,250,default,,100000.0,500,0.712
44,FR,100,250,250,default,,100000.0,500,0.176
45,FR,100,500,250,default,,100000.0,500,0.1
46,FR,100,1000,250,default,,100000.0,500,0.072
47,FR,100,1500,250,default,,100000.0,500,0.068
48,HT,50,25,250,default,,100000.0,500,0.984
49,HT,50,50,250,default,,100000.0,500,0.792
50,HT,50,250,250,default,,100000.0,500,0.176
51,HT,50,500,250,default,,100000.0,500,0.156
52,HT,50,1000,250,default,,100000.0,500,0.088
53,HT,50,1500,250,default,,100000.0,500,0.072
54,HT,100,25,250,default,,100000.0,500,1.0
55,HT,100,50,250,default,,100000.0,500,0.988
56,HT,100,250,250,default,,100000.0,500,0.44
57,HT,100,500,250,default,,100000.0,500,0.18
58,HT,100,1000,250,default,,100000.0,500,0.116
59,HT,100,1500,250,default,,100000.0,500,0.084
