,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,100,default,,100000.0,500,0.52
1,FH,50,50,100,default,,100000.0,500,0.42
2,FH,50,250,100,default,,100000.0,500,0.32
3,FH,50,500,100,default,,100000.0,500,0.14
4,FH,50,1000,100,default,,100000.0,500,0.1
5,FH,50,1500,100,default,,100000.0,500,0.17
6,FH,100,25,100,default,,100000.0,500,0.91
7,FH,100,50,100,default,,100000.0,500,0.75
8,FH,100,250,100,default,,100000.0,500,0.49
9,FH,100,500,100,default,,100000.0,500,0.37
10,FH,100,1000,100,default,,100000.0,500,0.2
11,FH,100,1500,100,default,,100000.0,500,0.21
12,MMD,50,25,100,default,,100000.0,500,0.9
13,MMD,50,50,100,default,,100000.0,500,0.83
14,MMD,50,250,100,default,,100000.0,500,0.35
15,MMD,50,500,100,default,,100000.0,500,0.29
16,MMD,50,1000,100,default,,100000.0,500,0.15
17,MMD,50,1500,100,default,,100000.0,500,0.14
18,MMD,100,25,100,default,,100000.0,500,1.0
19,MMD,100,50,100,default,,100000.0,500,0.99
20,MMD,100,250,100,default,,100000.0,500,0.86
21,MMD,100,500,100,default,,100000.0,500,0.57
22,MMD,100,1000,100,default,,100000.0,500,0.3
23,MMD,100,1500,100,default,,100000.0,500,0.35
24,KNN,50,25,100,default,,100000.0,500,0.24
25,KNN,50,50,100,default,,100000.0,500,0.11
26,KNN,50,250,100,default,,100000.0,500,0.11
27,KNN,50,500,100,default,,100000.0,500,0.06
28,KNN,50,1000,100,default,,100000.0,500,0.04
29,KNN,50,1500,100,default,,100000.0,500,0.05
30,KNN,100,25,100,default,,100000.0,500,0.42
31,KNN,100,50,100,default,,100000.0,500,0.36
32,KNN,100,250,100,default,,100000.0,500,0.17
33,KNN,100,500,100,default,,100000.0,500,0.09
34,KNN,100,1000,100,default,,100000.0,500,0.06
35,KNN,100,1500,100,default,,100000.0,500,0.03
36,FR,50,25,100,default,,100000.0,500,0.23
37,FR,50,50,100,default,,100000.0,500,0.18
38,FR,50,250,100,default,,100000.0,500,0.11
39,FR,50,500,100,default,,100000.0,500,0.04
40,FR,50,1000,100,default,,100000.0,500,0.05
41,FR,50,1500,100,default,,100000.0,500,0.08
42,FR,100,25,100,default,,100000.0,500,0.43
43,FR,100,50,100,default,,100000.0,500,0.35
44,FR,100,250,100,default,,100000.0,500,0.15
45,FR,100,500,100,default,,100000.0,500,0.04
46,FR,100,1000,100,default,,100000.0,500,0.07
47,FR,100,1500,100,default,,100000.0,500,0.03
48,HT,50,25,100,default,,100000.0,500,0.67
49,HT,50,50,100,default,,100000.0,500,0.48
50,HT,50,250,100,default,,100000.0,500,0.16
51,HT,50,500,100,default,,100000.0,500,0.13
52,HT,50,1000,100,default,,100000.0,500,0.09
53,HT,50,1500,100,default,,100000.0,500,0.1
54,HT,100,25,100,default,,100000.0,500,0.88
55,HT,100,50,100,default,,100000.0,500,0.76
56,HT,100,250,100,default,,100000.0,500,0.36
57,HT,100,500,100,default,,100000.0,500,0.33
58,HT,100,1000,100,default,,100000.0,500,0.09
59,HT,100,1500,100,default,,100000.0,500,0.11
