,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,100,default,,100000.0,500,1.0
1,FH,50,50,100,default,,100000.0,500,1.0
2,FH,50,250,100,default,,100000.0,500,1.0
3,FH,50,500,100,default,,100000.0,500,1.0
4,FH,50,1000,100,default,,100000.0,500,1.0
5,FH,50,1500,100,default,,100000.0,500,0.99
6,FH,75,25,100,default,,100000.0,500,1.0
7,FH,75,50,100,default,,100000.0,500,1.0
8,FH,75,250,100,default,,100000.0,500,1.0
9,FH,75,500,100,default,,100000.0,500,1.0
10,FH,75,1000,100,default,,100000.0,500,1.0
11,FH,75,1500,100,default,,100000.0,500,1.0
12,MMD,50,25,100,default,,100000.0,500,1.0
13,MMD,50,50,100,default,,100000.0,500,1.0
14,MMD,50,250,100,default,,100000.0,500,0.54
15,MMD,50,500,100,default,,100000.0,500,0.13
16,MMD,50,1000,100,default,,100000.0,500,0.04
17,MMD,50,1500,100,default,,100000.0,500,0.05
18,MMD,75,25,100,default,,100000.0,500,1.0
19,MMD,75,50,100,default,,100000.0,500,1.0
20,MMD,75,250,100,default,,100000.0,500,0.78
21,MMD,75,500,100,default,,100000.0,500,0.33
22,MMD,75,1000,100,default,,100000.0,500,0.13
23,MMD,75,1500,100,default,,100000.0,500,0.08
24,KNN,50,25,100,default,,100000.0,500,0.99
25,KNN,50,50,100,default,,100000.0,500,1.0
26,KNN,50,250,100,default,,100000.0,500,0.54
27,KNN,50,500,100,default,,100000.0,500,0.32
28,KNN,50,1000,100,default,,100000.0,500,0.12
29,KNN,50,1500,100,default,,100000.0,500,0.09
30,KNN,75,25,100,default,,100000.0,500,1.0
31,KNN,75,50,100,default,,100000.0,500,1.0
32,KNN,75,250,100,default,,100000.0,500,0.76
33,KNN,75,500,100,default,,100000.0,500,0.44
34,KNN,75,1000,100,default,,100000.0,500,0.2
35,KNN,75,1500,100,default,,100000.0,500,0.17
36,FR,50,25,100,default,,100000.0,500,0.99
37,FR,50,50,100,default,,100000.0,500,0.99
38,FR,50,250,100,default,,100000.0,500,0.56
39,FR,50,500,100,default,,100000.0,500,0.36
40,FR,50,1000,100,default,,100000.0,500,0.18
41,FR,50,1500,100,default,,100000.0,500,0.11
42,FR,75,25,100,default,,100000.0,500,1.0
43,FR,75,50,100,default,,100000.0,500,1.0
44,FR,75,250,100,default,,100000.0,500,0.79
45,FR,75,500,100,default,,100000.0,500,0.41
46,FR,75,1000,100,default,,100000.0,500,0.26
47,FR,75,1500,100,default,,100000.0,500,0.22
48,HT,50,25,100,default,,100000.0,500,1.0
49,HT,50,50,100,default,,100000.0,500,1.0
50,HT,50,250,100,default,,100000.0,500,1.0
51,HT,50,500,100,default,,100000.0,500,0.89
52,HT,50,1000,100,default,,100000.0,500,0.35
53,HT,50,1500,100,default,,100000.0,500,0.24
54,HT,75,25,100,default,,100000.0,500,1.0
55,HT,75,50,100,default,,100000.0,500,1.0
56,HT,75,250,100,default,,100000.0,500,1.0
57,HT,75,500,100,default,,100000.0,500,0.98
58,HT,75,1000,100,default,,100000.0,500,0.72
59,HT,75,1500,100,default,,100000.0,500,0.57
