,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,50,25,250,default,,100000.0,500,1.0
1,FH,50,50,250,default,,100000.0,500,1.0
2,FH,50,250,250,default,,100000.0,500,0.992
3,FH,50,500,250,default,,100000.0,500,0.868
4,FH,50,1000,250,default,,100000.0,500,0.588
5,FH,50,1500,250,default,,100000.0,500,0.484
6,FH,100,25,250,default,,100000.0,500,1.0
7,FH,100,50,250,default,,100000.0,500,1.0
8,FH,100,250,250,default,,100000.0,500,1.0
9,FH,100,500,250,default,,100000.0,500,1.0
10,FH,100,1000,250,default,,100000.0,500,0.936
11,FH,100,1500,250,default,,100000.0,500,0.78
12,MMD,50,25,250,default,,100000.0,500,1.0
13,MMD,50,50,250,default,,100000.0,500,0.988
14,MMD,50,250,250,default,,100000.0,500,0.408
15,MMD,50,500,250,default,,100000.0,500,0.26
16,MMD,50,1000,250,default,,100000.0,500,0.208
17,MMD,50,1500,250,default,,100000.0,500,0.136
18,MMD,100,25,250,default,,100000.0,500,1.0
19,MMD,100,50,250,default,,100000.0,500,1.0
20,MMD,100,250,250,default,,100000.0,500,0.88
21,MMD,100,500,250,default,,100000.0,500,0.588
22,MMD,100,1000,250,default,,100000.0,500,0.42
23,MMD,100,1500,250,default,,100000.0,500,0.348
24,KNN,50,25,250,default,,100000.0,500,0.74
25,KNN,50,50,250,default,,100000.0,500,0.496
26,KNN,50,250,250,default,,100000.0,500,0.124
27,KNN,50,500,250,default,,100000.0,500,0.096
28,KNN,50,1000,250,default,,100000.0,500,0.08
29,KNN,50,1500,250,default,,100000.0,500,0.06
30,KNN,100,25,250,default,,100000.0,500,0.972
31,KNN,100,50,250,default,,100000.0,500,0.88
32,KNN,100,250,250,default,,100000.0,500,0.288
33,KNN,100,500,250,default,,100000.0,500,0.16
34,KNN,100,1000,250,default,,100000.0,500,0.128
35,KNN,100,1500,250,default,,100000.0,500,0.112
36,FR,50,25,250,default,,100000.0,500,0.772
37,FR,50,50,250,default,,100000.0,500,0.548
38,FR,50,250,250,default,,100000.0,500,0.128
39,FR,50,500,250,default,,100000.0,500,0.112
40,FR,50,1000,250,default,,100000.0,500,0.076
41,FR,50,1500,250,default,,100000.0,500,0.08
42,FR,100,25,250,default,,100000.0,500,0.992
43,FR,100,50,250,default,,100000.0,500,0.924
44,FR,100,250,250,default,,100000.0,500,0.344
45,FR,100,500,250,default,,100000.0,500,0.16
46,FR,100,1000,250,default,,100000.0,500,0.12
47,FR,100,1500,250,default,,100000.0,500,0.136
48,HT,50,25,250,default,,100000.0,500,1.0
49,HT,50,50,250,default,,100000.0,500,0.976
50,HT,50,250,250,default,,100000.0,500,0.484
51,HT,50,500,250,default,,100000.0,500,0.252
52,HT,50,1000,250,default,,100000.0,500,0.132
53,HT,50,1500,250,default,,100000.0,500,0.112
54,HT,100,25,250,default,,100000.0,500,1.0
55,HT,100,50,250,default,,100000.0,500,1.0
56,HT,100,250,250,default,,100000.0,500,0.876
57,HT,100,500,250,default,,100000.0,500,0.48
58,HT,100,1000,250,default,,100000.0,500,0.296
59,HT,100,1500,250,default,,100000.0,500,0.204
