,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,75,25,100,default,,1000.0,100,0.87
1,FH,75,50,100,default,,1000.0,100,0.97
2,FH,75,250,100,default,,1000.0,100,0.32
3,FH,75,500,100,default,,1000.0,100,0.19
4,FH,75,1000,100,default,,1000.0,100,0.09
5,MMD,75,25,100,default,,1000.0,100,1.0
6,MMD,75,50,100,default,,1000.0,100,1.0
7,MMD,75,250,100,default,,1000.0,100,1.0
8,MMD,75,500,100,default,,1000.0,100,0.96
9,MMD,75,1000,100,default,,1000.0,100,0.79
10,KNN,75,25,100,default,,1000.0,100,0.43
11,KNN,75,50,100,default,,1000.0,100,0.61
12,KNN,75,250,100,default,,1000.0,100,0.35
13,KNN,75,500,100,default,,1000.0,100,0.18
14,KNN,75,1000,100,default,,1000.0,100,0.14
15,FR,75,25,100,default,,1000.0,100,0.42
16,FR,75,50,100,default,,1000.0,100,0.69
17,FR,75,250,100,default,,1000.0,100,0.32
18,FR,75,500,100,default,,1000.0,100,0.22
19,FR,75,1000,100,default,,1000.0,100,0.17
