,test,sample size,dimension,N_iters,kernel,kernel_bandwith,max conditioning number,num_permutations,percent of rejections
0,FH,75,25,100,default,,100000.0,500,1.0
1,FH,75,50,100,default,,100000.0,500,1.0
2,FH,75,250,100,default,,100000.0,500,1.0
3,FH,75,500,100,default,,100000.0,500,1.0
4,FH,75,1000,100,default,,100000.0,500,1.0
5,FH,125,25,100,default,,100000.0,500,1.0
6,FH,125,50,100,default,,100000.0,500,1.0
7,FH,125,250,100,default,,100000.0,500,1.0
8,FH,125,500,100,default,,100000.0,500,1.0
9,FH,125,1000,100,default,,100000.0,500,1.0
10,MMD,75,25,100,default,,100000.0,500,1.0
11,MMD,75,50,100,default,,100000.0,500,1.0
12,MMD,75,250,100,default,,100000.0,500,1.0
13,MMD,75,500,100,default,,100000.0,500,0.61
14,MMD,75,1000,100,default,,100000.0,500,0.23
15,MMD,125,25,100,default,,100000.0,500,1.0
16,MMD,125,50,100,default,,100000.0,500,1.0
17,MMD,125,250,100,default,,100000.0,500,1.0
18,MMD,125,500,100,default,,100000.0,500,0.96
19,MMD,125,1000,100,default,,100000.0,500,0.41
20,KNN,75,25,100,default,,100000.0,500,1.0
21,KNN,75,50,100,default,,100000.0,500,1.0
22,KNN,75,250,100,default,,100000.0,500,0.98
23,KNN,75,500,100,default,,100000.0,500,0.81
24,KNN,75,1000,100,default,,100000.0,500,0.52
25,KNN,125,25,100,default,,100000.0,500,1.0
26,KNN,125,50,100,default,,100000.0,500,1.0
27,KNN,125,250,100,default,,100000.0,500,1.0
28,KNN,125,500,100,default,,100000.0,500,0.99
29,KNN,125,1000,100,default,,100000.0,500,0.85
30,FR,75,25,100,default,,100000.0,500,1.0
31,FR,75,50,100,default,,100000.0,500,1.0
32,FR,75,250,100,default,,100000.0,500,0.99
33,FR,75,500,100,default,,100000.0,500,0.84
34,FR,75,1000,100,default,,100000.0,500,0.49
35,FR,125,25,100,default,,100000.0,500,1.0
36,FR,125,50,100,default,,100000.0,500,1.0
37,FR,125,250,100,default,,100000.0,500,1.0
38,FR,125,500,100,default,,100000.0,500,0.99
39,FR,125,1000,100,default,,100000.0,500,0.85
40,HT,75,25,100,default,,100000.0,500,1.0
41,HT,75,50,100,default,,100000.0,500,1.0
42,HT,75,250,100,default,,100000.0,500,1.0
43,HT,75,500,100,default,,100000.0,500,1.0
44,HT,75,1000,100,default,,100000.0,500,0.98
45,HT,125,25,100,default,,100000.0,500,1.0
46,HT,125,50,100,default,,100000.0,500,1.0
47,HT,125,250,100,default,,100000.0,500,1.0
48,HT,125,500,100,default,,100000.0,500,1.0
49,HT,125,1000,100,default,,100000.0,500,1.0
