,sigma,test_name,value
0,0.0,FH,0.97
1,0.0,FR,0.96
2,0.0,HT,0.99
3,0.0,KNN,0.95
4,0.0,MMD,0.93
5,0.5,FH,0.95
6,0.5,FR,0.94
7,0.5,HT,0.98
8,0.5,KNN,0.91
9,0.5,MMD,0.95
10,1.0,FH,0.98
11,1.0,FR,0.92
12,1.0,HT,0.98
13,1.0,KNN,0.93
14,1.0,MMD,0.91
15,1.5,FH,0.93
16,1.5,FR,0.92
17,1.5,HT,0.98
18,1.5,KNN,0.91
19,1.5,MMD,0.86
20,2.0,FH,0.83
21,2.0,FR,0.88
22,2.0,HT,0.94
23,2.0,KNN,0.86
24,2.0,MMD,0.65
25,2.5,FH,0.66
26,2.5,FR,0.79
27,2.5,HT,0.89
28,2.5,KNN,0.71
29,2.5,MMD,0.51
30,3.0,FH,0.48
31,3.0,FR,0.71
32,3.0,HT,0.79
33,3.0,KNN,0.69
34,3.0,MMD,0.43
