sigma,test_name,value
0.0,FR,1.0
0.0,HT,1.0
0.0,KNN,0.995
0.0,MMD,0.99
0.8333333333333334,FR,0.995
0.8333333333333334,HT,1.0
0.8333333333333334,KNN,0.995
0.8333333333333334,MMD,0.99
1.6666666666666667,FR,1.0
1.6666666666666667,HT,1.0
1.6666666666666667,KNN,0.995
1.6666666666666667,MMD,0.955
2.5,FR,0.975
2.5,HT,0.995
2.5,KNN,0.97
2.5,MMD,0.795
3.3333333333333335,FR,0.91
3.3333333333333335,HT,0.98
3.3333333333333335,KNN,0.86
3.3333333333333335,MMD,0.565
4.166666666666667,FR,0.71
4.166666666666667,HT,0.825
4.166666666666667,KNN,0.695
4.166666666666667,MMD,0.31
5.0,FR,0.53
5.0,HT,0.62
5.0,KNN,0.535
5.0,MMD,0.17
