sigma,test_name,value
0.0,FH-C,0.995
0.0,FH-G,1.0
0.0,FR,1.0
0.0,HT,1.0
0.0,KNN,1.0
0.0,MMD,1.0
0.25,FH-C,1.0
0.25,FH-G,1.0
0.25,FR,1.0
0.25,HT,1.0
0.25,KNN,1.0
0.25,MMD,0.995
0.5,FH-C,0.95
0.5,FH-G,0.96
0.5,FR,0.845
0.5,HT,0.99
0.5,KNN,0.87
0.5,MMD,0.95
0.75,FH-C,0.735
0.75,FH-G,0.78
0.75,FR,0.375
0.75,HT,0.775
0.75,KNN,0.36
0.75,MMD,0.775
1.0,FH-C,0.415
1.0,FH-G,0.45
1.0,FR,0.12
1.0,HT,0.285
1.0,KNN,0.15
1.0,MMD,0.5
1.25,FH-C,0.23
1.25,FH-G,0.29
1.25,FR,0.11
1.25,HT,0.19
1.25,KNN,0.115
1.25,MMD,0.33
1.5,FH-C,0.19
1.5,FH-G,0.195
1.5,FR,0.055
1.5,HT,0.08
1.5,KNN,0.03
1.5,MMD,0.265
