test,rejection_rate,sample_size
KLR,0.041666666666666664,250
KLR0,0.027777777777777776,250
*KLR*,0.05555555555555555,250
logdet2,0.013888888888888888,250
CM,0.08333333333333333,250
SpecReg-MMD,0.05555555555555555,250
AggMMD,0.027777777777777776,250
KLR,0.06944444444444445,500
KLR0,0.05555555555555555,500
*KLR*,0.05555555555555555,500
logdet2,0.05555555555555555,500
CM,0.08333333333333333,500
SpecReg-MMD,0.06944444444444445,500
AggMMD,0.05555555555555555,500
KLR,0.027777777777777776,750
KLR0,0.041666666666666664,750
*KLR*,0.027777777777777776,750
logdet2,0.041666666666666664,750
CM,0.041666666666666664,750
SpecReg-MMD,0.041666666666666664,750
AggMMD,0.041666666666666664,750
KLR,0.027777777777777776,1000
KLR0,0.013888888888888888,1000
*KLR*,0.027777777777777776,1000
logdet2,0.013888888888888888,1000
CM,0.05555555555555555,1000
SpecReg-MMD,0.05555555555555555,1000
AggMMD,0.027777777777777776,1000
