test,rejection_rate,sample_size
KLR,0.20833333333333334,250
KLR0,0.125,250
*KLR*,0.16666666666666666,250
logdet2,0.1388888888888889,250
CM,0.16666666666666666,250
SpecReg-MMD,0.16666666666666666,250
AggMMD,0.06944444444444445,250
KLR,0.2916666666666667,500
KLR0,0.2916666666666667,500
*KLR*,0.3194444444444444,500
logdet2,0.25,500
CM,0.2361111111111111,500
SpecReg-MMD,0.19444444444444445,500
AggMMD,0.1111111111111111,500
KLR,0.6111111111111112,750
KLR0,0.5833333333333334,750
*KLR*,0.5694444444444444,750
logdet2,0.5277777777777778,750
CM,0.5694444444444444,750
SpecReg-MMD,0.5138888888888888,750
AggMMD,0.18055555555555555,750
KLR,0.8194444444444444,1000
KLR0,0.7638888888888888,1000
*KLR*,0.8194444444444444,1000
logdet2,0.6944444444444444,1000
CM,0.7638888888888888,1000
SpecReg-MMD,0.7777777777777778,1000
AggMMD,0.2916666666666667,1000
