test,rejection_rate,sample_size
KLR,0.0,100
KLR0,0.027777777777777776,100
*KLR*,0.0,100
logdet2,0.027777777777777776,100
CM,0.013888888888888888,100
SpecReg-MMD,0.0,100
AggMMD,0.041666666666666664,100
HT,0.027777777777777776,100
FR,0.041666666666666664,100
KLR,0.013888888888888888,200
KLR0,0.013888888888888888,200
*KLR*,0.013888888888888888,200
logdet2,0.013888888888888888,200
CM,0.027777777777777776,200
SpecReg-MMD,0.027777777777777776,200
AggMMD,0.027777777777777776,200
HT,0.027777777777777776,200
FR,0.027777777777777776,200
KLR,0.027777777777777776,300
KLR0,0.027777777777777776,300
*KLR*,0.027777777777777776,300
logdet2,0.027777777777777776,300
CM,0.027777777777777776,300
SpecReg-MMD,0.013888888888888888,300
AggMMD,0.041666666666666664,300
HT,0.013888888888888888,300
FR,0.013888888888888888,300
