eps,test,rejection rate
0.005,KLR,0.055
0.005,KLR0,0.065
0.005,*KLR*,0.05
0.005,logdet2,0.07
0.005,CM,0.035
0.005,SpecReg-MMD,0.015
0.005,AggMMD,0.01
0.01,KLR,0.055
0.01,KLR0,0.07
0.01,*KLR*,0.035
0.01,logdet2,0.055
0.01,CM,0.02
0.01,SpecReg-MMD,0.015
0.01,AggMMD,0.02
0.025,KLR,0.045
0.025,KLR0,0.035
0.025,*KLR*,0.04
0.025,logdet2,0.05
0.025,CM,0.03
0.025,SpecReg-MMD,0.03
0.025,AggMMD,0.015
0.05,KLR,0.04
0.05,KLR0,0.055
0.05,*KLR*,0.055
0.05,logdet2,0.065
0.05,CM,0.04
0.05,SpecReg-MMD,0.02
0.05,AggMMD,0.025
0.075,KLR,0.035
0.075,KLR0,0.07
0.075,*KLR*,0.06
0.075,logdet2,0.04
0.075,CM,0.025
0.075,SpecReg-MMD,0.02
0.075,AggMMD,0.025
