eps,test,rejection rate
0.005,KLR,0.04
0.005,KLR0,0.045
0.005,*KLR*,0.035
0.005,logdet2,0.035
0.005,CM,0.03
0.005,SpecReg-MMD,0.005
0.005,AggMMD,0.015
0.005,HT,0.025
0.005,FR,0.03
0.01,KLR,0.075
0.01,KLR0,0.25
0.01,*KLR*,0.09
0.01,logdet2,0.25
0.01,CM,0.07
0.01,SpecReg-MMD,0.025
0.01,AggMMD,0.02
0.01,HT,0.025
0.01,FR,0.04
0.025,KLR,0.435
0.025,KLR0,0.915
0.025,*KLR*,0.42
0.025,logdet2,0.925
0.025,CM,0.395
0.025,SpecReg-MMD,0.065
0.025,AggMMD,0.035
0.025,HT,0.02
0.025,FR,0.01
0.05,KLR,1.0
0.05,KLR0,1.0
0.05,*KLR*,1.0
0.05,logdet2,1.0
0.05,CM,1.0
0.05,SpecReg-MMD,0.7
0.05,AggMMD,0.255
0.05,HT,0.05
0.05,FR,0.005
0.075,KLR,1.0
0.075,KLR0,1.0
0.075,*KLR*,1.0
0.075,logdet2,1.0
0.075,CM,1.0
0.075,SpecReg-MMD,1.0
0.075,AggMMD,0.94
0.075,HT,0.04
0.075,FR,0.005
