test,rejection_rate,sample_size
KLR,0.3194444444444444,100
KLR0,0.2777777777777778,100
*KLR*,0.3611111111111111,100
logdet2,0.18055555555555555,100
CM,0.2361111111111111,100
SpecReg-MMD,0.25,100
AggMMD,0.1527777777777778,100
HT,0.1527777777777778,100
FR,0.125,100
KLR,0.8194444444444444,200
KLR0,0.6111111111111112,200
*KLR*,0.7777777777777778,200
logdet2,0.4444444444444444,200
CM,0.75,200
SpecReg-MMD,0.7777777777777778,200
AggMMD,0.18055555555555555,200
HT,0.2361111111111111,200
FR,0.375,200
KLR,0.9861111111111112,300
KLR0,0.9027777777777778,300
*KLR*,0.9861111111111112,300
logdet2,0.7916666666666666,300
CM,0.9861111111111112,300
SpecReg-MMD,0.9861111111111112,300
AggMMD,0.4305555555555556,300
HT,0.625,300
FR,0.6805555555555556,300
