eps,test,rejection rate
0.05,KLR,0.035
0.05,KLR0,0.055
0.05,*KLR*,0.04
0.05,logdet2,0.035
0.05,CM,0.02
0.05,SpecReg-MMD,0.01
0.05,AggMMD,0.02
0.1,KLR,0.03
0.1,KLR0,0.015
0.1,*KLR*,0.015
0.1,logdet2,0.03
0.1,CM,0.015
0.1,SpecReg-MMD,0.015
0.1,AggMMD,0.02
0.15,KLR,0.04
0.15,KLR0,0.055
0.15,*KLR*,0.04
0.15,logdet2,0.04
0.15,CM,0.025
0.15,SpecReg-MMD,0.025
0.15,AggMMD,0.045
0.2,KLR,0.03
0.2,KLR0,0.035
0.2,*KLR*,0.035
0.2,logdet2,0.04
0.2,CM,0.025
0.2,SpecReg-MMD,0.02
0.2,AggMMD,0.025
0.25,KLR,0.06
0.25,KLR0,0.055
0.25,*KLR*,0.045
0.25,logdet2,0.08
0.25,CM,0.025
0.25,SpecReg-MMD,0.015
0.25,AggMMD,0.03
