eps,test,rejection rate
0.005,KLR,0.08
0.005,KLR0,0.16
0.005,*KLR*,0.09
0.005,logdet2,0.11
0.005,CM,0.065
0.005,SpecReg-MMD,0.05
0.005,AggMMD,0.025
0.005,HT,0.06
0.005,FR,0.06
0.01,KLR,0.12
0.01,KLR0,0.295
0.01,*KLR*,0.115
0.01,logdet2,0.3
0.01,CM,0.09
0.01,SpecReg-MMD,0.06
0.01,AggMMD,0.03
0.01,HT,0.045
0.01,FR,0.05
0.025,KLR,0.485
0.025,KLR0,0.945
0.025,*KLR*,0.48
0.025,logdet2,0.935
0.025,CM,0.455
0.025,SpecReg-MMD,0.1
0.025,AggMMD,0.025
0.025,HT,0.035
0.025,FR,0.055
0.05,KLR,0.995
0.05,KLR0,1.0
0.05,*KLR*,0.995
0.05,logdet2,1.0
0.05,CM,0.99
0.05,SpecReg-MMD,0.7
0.05,AggMMD,0.205
0.05,HT,0.035
0.05,FR,0.02
0.075,KLR,1.0
0.075,KLR0,1.0
0.075,*KLR*,1.0
0.075,logdet2,1.0
0.075,CM,1.0
0.075,SpecReg-MMD,1.0
0.075,AggMMD,0.88
0.075,HT,0.035
0.075,FR,0.0
