dimension,test,rejection rate
50,KLR,0.065
50,KLR0,0.05
50,*KLR*,0.045
50,logdet2,0.055
50,CM,0.04
50,SpecReg-MMD,0.025
50,AggMMD,0.03
250,KLR,0.015
250,KLR0,0.035
250,*KLR*,0.03
250,logdet2,0.015
250,CM,0.01
250,SpecReg-MMD,0.005
250,AggMMD,0.03
500,KLR,0.025
500,KLR0,0.02
500,*KLR*,0.015
500,logdet2,0.025
500,CM,0.015
500,SpecReg-MMD,0.01
500,AggMMD,0.01
1000,KLR,0.025
1000,KLR0,0.03
1000,*KLR*,0.025
1000,logdet2,0.03
1000,CM,0.015
1000,SpecReg-MMD,0.005
1000,AggMMD,0.015
1500,KLR,0.055
1500,KLR0,0.04
1500,*KLR*,0.04
1500,logdet2,0.045
1500,CM,0.035
1500,SpecReg-MMD,0.025
1500,AggMMD,0.035
