dimension,test,rejection rate
50,KLR,1.0
50,KLR0,1.0
50,*KLR*,1.0
50,logdet2,1.0
50,CM,1.0
50,SpecReg-MMD,1.0
50,AggMMD,1.0
50,HT,0.985
50,FR,0.555
250,KLR,0.955
250,KLR0,0.93
250,*KLR*,0.95
250,logdet2,0.94
250,CM,0.95
250,SpecReg-MMD,0.935
250,AggMMD,0.91
250,HT,0.64
250,FR,0.205
500,KLR,0.765
500,KLR0,0.735
500,*KLR*,0.755
500,logdet2,0.715
500,CM,0.765
500,SpecReg-MMD,0.715
500,AggMMD,0.72
500,HT,0.45
500,FR,0.185
1000,KLR,0.56
1000,KLR0,0.52
1000,*KLR*,0.57
1000,logdet2,0.51
1000,CM,0.555
1000,SpecReg-MMD,0.45
1000,AggMMD,0.495
1000,HT,0.29
1000,FR,0.11
1500,KLR,0.345
1500,KLR0,0.255
1500,*KLR*,0.365
1500,logdet2,0.265
1500,CM,0.325
1500,SpecReg-MMD,0.295
1500,AggMMD,0.355
1500,HT,0.2
1500,FR,0.105
