dimension,test,rejection rate
50,KLR,0.095
50,KLR0,0.055
50,*KLR*,0.08
50,logdet2,0.095
50,CM,0.065
50,SpecReg-MMD,0.05
50,AggMMD,0.025
50,HT,0.06
50,FR,0.05
250,KLR,0.09
250,KLR0,0.06
250,*KLR*,0.055
250,logdet2,0.08
250,CM,0.04
250,SpecReg-MMD,0.035
250,AggMMD,0.025
250,HT,0.03
250,FR,0.06
500,KLR,0.03
500,KLR0,0.04
500,*KLR*,0.045
500,logdet2,0.04
500,CM,0.025
500,SpecReg-MMD,0.015
500,AggMMD,0.02
500,HT,0.055
500,FR,0.05
1000,KLR,0.07
1000,KLR0,0.04
1000,*KLR*,0.065
1000,logdet2,0.045
1000,CM,0.04
1000,SpecReg-MMD,0.055
1000,AggMMD,0.045
1000,HT,0.045
1000,FR,0.035
1500,KLR,0.09
1500,KLR0,0.065
1500,*KLR*,0.09
1500,logdet2,0.065
1500,CM,0.055
1500,SpecReg-MMD,0.05
1500,AggMMD,0.055
1500,HT,0.07
1500,FR,0.035
