dimension,test,rejection rate
50,KLR,1.0
50,KLR0,1.0
50,*KLR*,1.0
50,logdet2,1.0
50,CM,1.0
50,SpecReg-MMD,0.995
50,AggMMD,0.995
50,HT,1.0
50,FR,0.955
250,KLR,1.0
250,KLR0,1.0
250,*KLR*,1.0
250,logdet2,1.0
250,CM,0.545
250,SpecReg-MMD,0.65
250,AggMMD,0.75
250,HT,0.95
250,FR,0.505
500,KLR,0.995
500,KLR0,1.0
500,*KLR*,0.995
500,logdet2,1.0
500,CM,0.205
500,SpecReg-MMD,0.34
500,AggMMD,0.45
500,HT,0.64
500,FR,0.295
1000,KLR,0.985
1000,KLR0,0.95
1000,*KLR*,0.91
1000,logdet2,0.99
1000,CM,0.04
1000,SpecReg-MMD,0.185
1000,AggMMD,0.26
1000,HT,0.395
1000,FR,0.14
1500,KLR,0.835
1500,KLR0,0.935
1500,*KLR*,0.905
1500,logdet2,0.84
1500,CM,0.05
1500,SpecReg-MMD,0.105
1500,AggMMD,0.165
1500,HT,0.225
1500,FR,0.115
