dimension,test,rejection rate
50,KLR,0.06
50,KLR0,0.06
50,*KLR*,0.05
50,logdet2,0.075
50,CM,0.015
50,SpecReg-MMD,0.01
50,AggMMD,0.02
250,KLR,0.045
250,KLR0,0.04
250,*KLR*,0.045
250,logdet2,0.05
250,CM,0.025
250,SpecReg-MMD,0.035
250,AggMMD,0.035
500,KLR,0.03
500,KLR0,0.03
500,*KLR*,0.03
500,logdet2,0.035
500,CM,0.015
500,SpecReg-MMD,0.005
500,AggMMD,0.03
1000,KLR,0.02
1000,KLR0,0.015
1000,*KLR*,0.01
1000,logdet2,0.01
1000,CM,0.01
1000,SpecReg-MMD,0.01
1000,AggMMD,0.02
1500,KLR,0.05
1500,KLR0,0.035
1500,*KLR*,0.04
1500,logdet2,0.045
1500,CM,0.03
1500,SpecReg-MMD,0.025
1500,AggMMD,0.03
