dimension,test,rejection rate
50,KLR,0.045
50,KLR0,0.04
50,*KLR*,0.04
50,logdet2,0.055
50,CM,0.02
50,SpecReg-MMD,0.01
50,AggMMD,0.02
50,HT,0.055
50,FR,0.06
250,KLR,0.065
250,KLR0,0.045
250,*KLR*,0.04
250,logdet2,0.07
250,CM,0.03
250,SpecReg-MMD,0.025
250,AggMMD,0.03
250,HT,0.065
250,FR,0.025
500,KLR,0.045
500,KLR0,0.05
500,*KLR*,0.05
500,logdet2,0.04
500,CM,0.035
500,SpecReg-MMD,0.035
500,AggMMD,0.045
500,HT,0.045
500,FR,0.055
1000,KLR,0.03
1000,KLR0,0.04
1000,*KLR*,0.025
1000,logdet2,0.035
1000,CM,0.02
1000,SpecReg-MMD,0.005
1000,AggMMD,0.005
1000,HT,0.085
1000,FR,0.055
1500,KLR,0.05
1500,KLR0,0.05
1500,*KLR*,0.065
1500,logdet2,0.06
1500,CM,0.03
1500,SpecReg-MMD,0.025
1500,AggMMD,0.03
1500,HT,0.06
1500,FR,0.05
