dimension,test,rejection rate
50,KLR,1.0
50,KLR0,1.0
50,*KLR*,1.0
50,logdet2,1.0
50,CM,1.0
50,SpecReg-MMD,1.0
50,AggMMD,1.0
50,HT,0.51
50,FR,0.195
250,KLR,1.0
250,KLR0,1.0
250,*KLR*,1.0
250,logdet2,1.0
250,CM,1.0
250,SpecReg-MMD,0.985
250,AggMMD,0.995
250,HT,0.095
250,FR,0.055
500,KLR,0.805
500,KLR0,0.895
500,*KLR*,0.815
500,logdet2,0.895
500,CM,0.81
500,SpecReg-MMD,0.58
500,AggMMD,0.665
500,HT,0.03
500,FR,0.035
1000,KLR,0.485
1000,KLR0,0.61
1000,*KLR*,0.48
1000,logdet2,0.585
1000,CM,0.47
1000,SpecReg-MMD,0.135
1000,AggMMD,0.185
1000,HT,0.05
1000,FR,0.05
1500,KLR,0.27
1500,KLR0,0.41
1500,*KLR*,0.27
1500,logdet2,0.405
1500,CM,0.27
1500,SpecReg-MMD,0.05
1500,AggMMD,0.085
1500,HT,0.06
1500,FR,0.045
